service_no,service_name,subscription_type,category
S0115,ワークスタイル変革 活用＆定着化支援サービス for Office 365,非サブスクリプション,
S0116,ワークスタイル変革 コンサルティングサービス,非サブスクリプション,
S0117,ワークスタイル変革 効果の見える化支援サービス,非サブスクリプション,
S0118,セキュアファイル転送アプリ metis fiebie,サブスクリプション,
S0119,スマートスタート for Microsoft Intune,非サブスクリプション,
S0120,サービスデスク ナレッジ活用トータルサポート,非サブスクリプション,
S0121,OpsRampサービス,サブスクリプション,
S0122,スマートサポート for Office 365,サブスクリプション,
S0123,Monitoring Bundle for Office 365,サブスクリプション,
S0124,リモートサービスデスク,非サブスクリプション,
S0125,metis for リモートセールス,非サブスクリプション,
S0126,S/4HANA 最短コンバージョンサービス,非サブスクリプション,
S0127,SAP Concur導入支援サービス,非サブスクリプション,
S0128,AvePoint Cloud Governance 構築サービス,非サブスクリプション,
S0129,コラボレーションスタイル診断サービス with Microsoft Workplace Anlytics,非サブスクリプション,
S0130,運用プランニングサービス for Microsoft 365 / Microsoft Azure,非サブスクリプション,
S0131,インサイドセールステンプレート for Dynamics 365,非サブスクリプション,
S0132,マネージドセキュリティサービス for Azure  Advanced Threat Protection,サブスクリプション,
